id,code_INSEE,annee,mois,jour,heure,tmax_med
1173,84050,2017,Aug,13,16,18.05
1174,84079,2021,Apr,7,14,16.3
1175,84084,2017,Aug,11,17,18.7
1176,84089,2019,Sep,8,16,19.9
1177,84091,2022,Jul,1,14,20.1
1178,84129,2015,Jul,12,18,20.8
1179,84147,2015,Aug,6,19,19.75
1180,86086,2022,Jul,18,19,17.1
1181,87064,2020,Aug,11,21,15.7
1182,87150,2021,Apr,3,16,17.0
1183,89021,2020,Jul,13,15,15.9
1184,89044,2020,Sep,14,17,16.2
1185,89368,2021,Apr,21,19,15.6
1186,89419,2020,Sep,15,17,16.45
1187,97408,2020,Oct,31,14,23.9
1188,97410,2017,Sep,16,9,21.2
1189,97411,2012,Oct,27,11,25.0
1190,97411,2012,Sep,16,11,25.0
1191,97415,2017,Nov,3,4,20.0
1192,97415,2021,Aug,3,17,20.0
1193,97415,2021,Oct,2,7,20.0
1194,97417,2015,Oct,23,12,26.6
1195,97423,2022,Dec,19,8,18.9
1196,97603,2022,Oct,23,0,30.2
1197,97606,2022,Nov,6,0,31.0
